Date,Open,High,Low,Close,Adj Close,Volume
2019-10-29,10925.000000,11175.000000,10850.000000,11125.000000,11061.243164,666500
2019-10-30,11200.000000,11400.000000,11000.000000,11350.000000,11284.953125,1311400
2019-10-31,11350.000000,11625.000000,11250.000000,11425.000000,11359.523438,1553100
2019-11-01,11425.000000,11500.000000,11075.000000,11325.000000,11260.096680,514800
2019-11-04,11400.000000,11700.000000,11300.000000,11700.000000,11632.947266,1267600
2019-11-05,11600.000000,12425.000000,11600.000000,12400.000000,12328.935547,3155600
2019-11-06,12400.000000,12475.000000,12100.000000,12300.000000,12229.508789,1193600
2019-11-07,12250.000000,12500.000000,12225.000000,12300.000000,12229.508789,1060600
2019-11-08,12300.000000,12950.000000,12100.000000,12600.000000,12527.790039,1130500
2019-11-11,12500.000000,12925.000000,12500.000000,12775.000000,12701.787109,1744300
2019-11-12,12875.000000,12900.000000,12500.000000,12825.000000,12751.500000,1311800
2019-11-13,12750.000000,12750.000000,12225.000000,12400.000000,12328.935547,1277700
2019-11-14,12400.000000,12425.000000,11975.000000,12250.000000,12179.795898,1884700
2019-11-15,12350.000000,12425.000000,12000.000000,12200.000000,12130.082031,812400
2019-11-18,12200.000000,12450.000000,11975.000000,12425.000000,12353.792969,499500
2019-11-19,12425.000000,12625.000000,12225.000000,12600.000000,12527.790039,612200
2019-11-20,12600.000000,13125.000000,12450.000000,13000.000000,12925.497070,1641200
2019-11-21,13025.000000,13275.000000,12750.000000,13000.000000,12925.497070,1777000
2019-11-22,13000.000000,13175.000000,12950.000000,13125.000000,13049.781250,889700
2019-11-25,13300.000000,13400.000000,13050.000000,13200.000000,13124.350586,1015900
2019-11-26,13200.000000,13200.000000,12700.000000,13000.000000,12925.497070,714000
2019-11-27,12900.000000,12900.000000,12025.000000,12125.000000,12055.511719,1058100
2019-11-28,12125.000000,12375.000000,12125.000000,12275.000000,12204.652344,430500
2019-11-29,12350.000000,12600.000000,12325.000000,12600.000000,12527.790039,1472300
2019-12-02,12625.000000,12825.000000,12575.000000,12800.000000,12726.643555,674400
2019-12-03,12800.000000,12825.000000,12675.000000,12825.000000,12751.500000,653100
2019-12-04,12775.000000,12850.000000,12450.000000,12775.000000,12701.787109,612800
2019-12-05,12800.000000,13075.000000,12750.000000,13050.000000,12975.210938,647600
2019-12-06,13100.000000,13575.000000,13100.000000,13575.000000,13497.202148,1663200
2019-12-09,13625.000000,13800.000000,13575.000000,13700.000000,13621.485352,1361600
2019-12-10,13675.000000,13750.000000,13100.000000,13500.000000,13422.631836,1797100
2019-12-11,13450.000000,13500.000000,13275.000000,13325.000000,13248.634766,626400
2019-12-12,13300.000000,13475.000000,13125.000000,13250.000000,13174.064453,865100
2019-12-13,13250.000000,13625.000000,13250.000000,13425.000000,13348.061523,441900
2019-12-16,13425.000000,13500.000000,13175.000000,13400.000000,13323.205078,782400
2019-12-17,13400.000000,13675.000000,13400.000000,13600.000000,13522.058594,873700
2019-12-18,13600.000000,13675.000000,13525.000000,13550.000000,13472.344727,696000
2019-12-19,13550.000000,13550.000000,13300.000000,13300.000000,13223.778320,537700
2019-12-20,13300.000000,13525.000000,13100.000000,13525.000000,13447.488281,438000
2019-12-23,13575.000000,13625.000000,13525.000000,13600.000000,13522.058594,837700
2019-12-26,13600.000000,14200.000000,13575.000000,14100.000000,14019.193359,2010500
2019-12-27,14100.000000,14525.000000,14100.000000,14500.000000,14416.900391,2557800
2019-12-30,14500.000000,14675.000000,14300.000000,14575.000000,14491.470703,1202700
2020-01-02,14550.000000,14650.000000,14025.000000,14025.000000,13944.623047,799000
2020-01-03,14100.000000,14450.000000,14025.000000,14100.000000,14019.193359,1282400
2020-01-06,14100.000000,14100.000000,13500.000000,13500.000000,13422.631836,1109400
2020-01-07,13500.000000,13750.000000,13225.000000,13400.000000,13323.205078,1397200
2020-01-08,13400.000000,13400.000000,13200.000000,13325.000000,13248.634766,863000
2020-01-09,13450.000000,13975.000000,13350.000000,13850.000000,13770.625977,1684800
2020-01-10,14000.000000,14100.000000,13650.000000,13675.000000,13596.628906,786000
2020-01-13,13675.000000,13825.000000,13600.000000,13700.000000,13621.485352,909000
2020-01-14,13700.000000,13900.000000,13200.000000,13200.000000,13124.350586,1623200
2020-01-15,13200.000000,13200.000000,12525.000000,12525.000000,12453.219727,2131200
2020-01-16,12525.000000,12950.000000,12525.000000,12675.000000,12602.359375,1389300
2020-01-17,12675.000000,12925.000000,12650.000000,12875.000000,12801.213867,715700
2020-01-20,12900.000000,13000.000000,12500.000000,12600.000000,12527.790039,1476400
2020-01-21,12600.000000,12750.000000,12275.000000,12350.000000,12279.222656,785900
2020-01-22,12350.000000,12500.000000,12150.000000,12425.000000,12353.792969,967100
2020-01-23,12600.000000,12675.000000,12400.000000,12425.000000,12353.792969,416700
2020-01-24,12425.000000,12425.000000,12025.000000,12075.000000,12005.797852,514300
2020-01-27,12075.000000,12075.000000,11500.000000,11575.000000,11508.664063,1244400
2020-01-28,11600.000000,11850.000000,10750.000000,11800.000000,11732.374023,1625300
2020-01-29,11500.000000,11950.000000,11500.000000,11800.000000,11732.374023,985700
2020-01-30,11750.000000,12025.000000,11700.000000,11925.000000,11856.658203,1034400
2020-01-31,11925.000000,11925.000000,11525.000000,11875.000000,11806.944336,457500
2020-02-03,11800.000000,11800.000000,11300.000000,11400.000000,11334.666992,372300
2020-02-04,11575.000000,11575.000000,11150.000000,11250.000000,11185.526367,413700
2020-02-05,11275.000000,11800.000000,11250.000000,11775.000000,11707.517578,946300
2020-02-06,12000.000000,12175.000000,11950.000000,12125.000000,12055.511719,1293500
2020-02-07,12175.000000,12225.000000,11800.000000,12050.000000,11980.941406,635000
2020-02-10,12000.000000,12000.000000,11400.000000,11450.000000,11384.379883,906000
2020-02-11,11525.000000,11650.000000,11500.000000,11600.000000,11533.520508,519900
2020-02-12,11600.000000,11750.000000,11500.000000,11575.000000,11508.664063,578200
2020-02-13,11625.000000,11675.000000,11025.000000,11025.000000,10961.815430,445700
2020-02-14,11000.000000,11150.000000,11000.000000,11100.000000,11036.385742,392300
2020-02-17,11125.000000,11350.000000,11025.000000,11200.000000,11135.812500,246600
2020-02-18,11200.000000,11325.000000,11075.000000,11100.000000,11036.385742,298400
2020-02-19,11250.000000,11250.000000,11075.000000,11200.000000,11135.812500,477800
2020-02-20,11200.000000,11200.000000,11000.000000,11150.000000,11086.099609,366600
2020-02-21,11150.000000,11150.000000,10700.000000,10825.000000,10762.961914,758300
2020-02-24,10825.000000,10825.000000,10550.000000,10575.000000,10514.394531,385300
2020-02-25,10575.000000,10850.000000,10400.000000,10850.000000,10787.818359,411400
2020-02-26,10800.000000,10825.000000,10525.000000,10525.000000,10464.681641,478800
2020-02-27,10525.000000,10625.000000,10000.000000,10575.000000,10514.394531,424700
2020-02-28,10300.000000,10300.000000,9525.000000,9800.000000,9743.835938,1360400
2020-03-02,9800.000000,9900.000000,9375.000000,9500.000000,9445.555664,885500
2020-03-03,9600.000000,9825.000000,9575.000000,9700.000000,9644.409180,1109600
2020-03-04,9700.000000,9975.000000,9600.000000,9750.000000,9694.123047,1050800
2020-03-05,9925.000000,10200.000000,9850.000000,9950.000000,9892.976563,1220200
2020-03-06,9800.000000,10150.000000,9675.000000,9700.000000,9644.409180,373600
2020-03-09,9500.000000,9500.000000,8200.000000,8200.000000,8153.005859,2545000
2020-03-10,8200.000000,8525.000000,8000.000000,8100.000000,8053.579102,1649500
2020-03-11,8150.000000,8175.000000,7500.000000,7600.000000,7556.444336,1746400
2020-03-12,7400.000000,7400.000000,6850.000000,6850.000000,6810.742676,1683700
2020-03-13,6850.000000,6850.000000,6850.000000,6850.000000,6810.742676,0
2020-03-16,6275.000000,6375.000000,5950.000000,5950.000000,5915.900391,1812900
2020-03-17,5550.000000,5750.000000,5550.000000,5550.000000,5518.192871,2308900
2020-03-18,5550.000000,5850.000000,5175.000000,5175.000000,5145.342285,2083100
2020-03-19,5000.000000,5000.000000,4820.000000,4820.000000,4792.376465,817100
2020-03-20,4750.000000,4980.000000,4490.000000,4730.000000,4702.892578,2190300
2020-03-23,4650.000000,4680.000000,4400.000000,4400.000000,4374.783691,2447600
2020-03-24,4400.000000,4610.000000,4140.000000,4290.000000,4265.414063,2796400
2020-03-26,4500.000000,5225.000000,4450.000000,5200.000000,5170.198730,5844200
2020-03-27,5500.000000,6225.000000,5325.000000,5500.000000,5468.479492,6290600
2020-03-30,5500.000000,5500.000000,5125.000000,5150.000000,5120.485352,3029300
2020-03-31,5400.000000,5700.000000,5200.000000,5400.000000,5369.052734,1993400
2020-04-01,5400.000000,5650.000000,5250.000000,5275.000000,5244.769043,2977400
2020-04-02,5325.000000,5400.000000,5100.000000,5325.000000,5294.482422,3265800
2020-04-03,5550.000000,5675.000000,5375.000000,5550.000000,5518.192871,4638200
2020-04-06,5575.000000,6075.000000,5500.000000,6050.000000,6015.327637,4749900
2020-04-07,6300.000000,6600.000000,6100.000000,6600.000000,6562.175293,5639100
2020-04-08,6625.000000,6850.000000,6275.000000,6400.000000,6363.321777,4360200
2020-04-09,6500.000000,6700.000000,6275.000000,6400.000000,6363.321777,2795900
2020-04-13,6450.000000,6600.000000,6100.000000,6525.000000,6487.605469,1605900
2020-04-14,6625.000000,6750.000000,6450.000000,6700.000000,6661.602539,1034500
2020-04-15,6750.000000,7100.000000,6700.000000,6700.000000,6661.602539,3230500
2020-04-16,6700.000000,6700.000000,6275.000000,6325.000000,6288.751465,2499400
2020-04-17,6450.000000,6650.000000,6400.000000,6575.000000,6537.318848,2018400
2020-04-20,6600.000000,6875.000000,6325.000000,6550.000000,6512.461914,2862300
2020-04-21,6450.000000,6450.000000,6100.000000,6100.000000,6065.041016,4120800
2020-04-22,5800.000000,5900.000000,5675.000000,5675.000000,5642.476563,4959900
2020-04-23,5725.000000,5850.000000,5650.000000,5675.000000,5642.476563,2129100
2020-04-24,5600.000000,5725.000000,5450.000000,5475.000000,5443.623047,2346300
2020-04-27,5600.000000,5700.000000,5375.000000,5550.000000,5518.192871,1654700
2020-04-28,5675.000000,6025.000000,5650.000000,5975.000000,5940.757324,6823600
2020-04-29,6050.000000,6200.000000,5950.000000,6000.000000,5965.614258,3138600
2020-04-30,6150.000000,6250.000000,6075.000000,6100.000000,6065.041016,3196900
2020-05-04,6100.000000,6100.000000,5800.000000,6050.000000,6015.327637,1634900
2020-05-05,6050.000000,6500.000000,6050.000000,6300.000000,6263.895020,3451500
2020-05-06,6450.000000,6450.000000,6300.000000,6325.000000,6288.751465,1777700
2020-05-08,6350.000000,6475.000000,6275.000000,6275.000000,6239.038086,1649000
2020-05-11,6400.000000,6750.000000,6300.000000,6725.000000,6686.458984,5343500
2020-05-12,6725.000000,6725.000000,6275.000000,6275.000000,6239.038086,5403300
2020-05-13,6250.000000,6375.000000,6000.000000,6250.000000,6214.181152,3301500
2020-05-14,6125.000000,6400.000000,6000.000000,6100.000000,6065.041016,1886400
2020-05-15,6175.000000,6275.000000,6050.000000,6200.000000,6164.467773,1759500
